Title,YourRating
6 nimmt!,5
7 Wonders (Second Edition),5.5
7 Wonders (2010),5.5
Age of Innovation (2023),8
Agricola (Revised Edition) (2016),7.5
Agricola (2007),7.5
Altiplano (2017),8
Anti-Monopoly,2.5
Arboretum (2015),5
Architects of the West Kingdom (2018),4
Arcs (2024),8.5
Ark Nova (2021),9
Arkham Horror: The Card Game (2016),6
Barrage (2019),8.5
Beyond the Sun (2020),3
Boggle,2
Bohnanza (1997),6.5
Brass: Birmingham (2018),8
Carcassonne (2000),8
Cards Against Humanity,6
Cards Against Humanity (2009),8
Carnegie (2022),7
Clank!: Catacombs (2022),5
Citadels (2000),5
Civilization: A New Dawn – Terra Incognita (2020),6.5
Codenames (2015),6
Colt Express,4
Concordia (2013),5
Connect Four,1
Coup,3.5
Creature Comforts (2022),6
Dixit (2008),7
Dixit: Odyssey,5
Dominant Species (2010),8
Dominion (2008),7
Dune: Imperium – Immortality (2022),10
Dune: Imperium – Uprising (2023),9.5
Dune: Imperium (2020),10
Earth (2023),7
El Grande (1995),4.5
Evacuation (2023),8
Food Chain Magnate (2015),6
Formula DÃ©,5.5
Gaia Project (2017),9
Gizmos (2018),5
Great Western Trail: Argentina (2022),9
Great Western Trail: Second Edition (2021),9.5
Hansa Teutonica (2009),8
Heat: Pedal to the Metal (2022),5.5
It's a Wonderful World (2019),8
Jeu du Nain Jaune,1
Kanban EV (2020),9
Le Havre,7
Libertalia: Winds of Galecrest (2022),7
Lost Ruins of Arnak (2020),8.5
Maracaibo (2019),6.5
Merv: The Heart of the Silk Road (2020),6
Modern Art (1992),7.5
Mombasa (2015),7
Monopoly,2
Monopoly Deal,4
Mosaic: A Story of Civilization (2022),7
Mysterium (2015),10
Nations (2013),6
On Mars (2020),8
Orléans (2014),8
Panamax,3.5
Pandemic (2008),6.5
Pax Pamir: Second Edition (2019),6
Pay Day,2.5
Perudo,4
Photosynthesis,4
Pictionary,4
Power Grid (2004),4.5
Pulsar 2849 (2017),5.5
Race for the Galaxy (2007),4
Ra (1999),4.5
Rajas of the Ganges (2017),5.5
Ramses II,2.5
Revive,8
Risk,3
Rococo,6
Root (2018),9.5
Rummikub,2
Scrabble,3.5
Secret Hitler (2016),6.5
Star Realms (2014),7
Taboo,5
Tales of the Northlands: The Sagas of Noggin the Nog (2018),7
Tapestry (2019),7.5
Teen-Trepreneur,4
Teotihuacan: City of Gods (2018),7
Terra Mystica (2012),9.5
Terraforming Mars (2016),5
The Estates (2018),3
The Gallerist (2015),9
The Game of Life (1960),5.5
The Girl Who Made The Stars (2023),6
Through the Ages: A New Story of Civilization,6.5
Through the Ages: A Story of Civilization (2006),7.5
Ticket to Ride (2004),6
Ticket to Ride: Europe (2005),5.5
Time's Up!,8
Time's Up! Édition purple (2007),8
Trivial Pursuit: Genus Edition,3
Troyes (2010),6
Twilight Struggle,6
Tzolk'in: The Mayan Calendar (2012),6
Underwater Cities (2018),8.5
UNO,2.5
Wavelength (2019),7.5
Weather Machine (2022),7.5
Whistle Mountain,4.5
Wingspan (2019),5
Wonderland's War (2022),8.5
Woodcraft (2022),8
Yokohama (2016),8
Age of Renaissance (1996),5
